i: 5, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 0 	Training Cost: 14384.254883	 Val Cost: 375905.477906	 Valid Acc: 0.5160880609652837
Epoch: 1 	Training Cost: 14212.831055	 Val Cost: 371966.371866	 Valid Acc: 0.5237087214225233
Epoch: 2 	Training Cost: 14062.426758	 Val Cost: 368257.912312	 Valid Acc: 0.5348574654247813
Epoch: 3 	Training Cost: 13920.944336	 Val Cost: 364722.123126	 Valid Acc: 0.5467118261360429
Epoch: 4 	Training Cost: 13787.101562	 Val Cost: 361300.635899	 Valid Acc: 0.5581428168219024
Epoch: 5 	Training Cost: 13660.348633	 Val Cost: 357940.499944	 Valid Acc: 0.5707027942421676
Epoch: 6 	Training Cost: 13541.495117	 Val Cost: 354603.139218	 Valid Acc: 0.5759243578887948
Epoch: 7 	Training Cost: 13433.913086	 Val Cost: 351256.741017	 Valid Acc: 0.5846740050804403
Epoch: 8 	Training Cost: 13348.328125	 Val Cost: 347727.897063	 Valid Acc: 0.5883432119672594
Epoch: 9 	Training Cost: 13298.746094	 Val Cost: 343543.017160	 Valid Acc: 0.5958227490826983
Epoch: 10 	Training Cost: 13283.302734	 Val Cost: 338826.758693	 Valid Acc: 0.6044312729325431
Epoch: 11 	Training Cost: 13261.526367	 Val Cost: 335688.429305	 Valid Acc: 0.607112616426757
Epoch: 12 	Training Cost: 13299.510742	 Val Cost: 329196.499048	 Valid Acc: 0.6244707874682472
Epoch: 13 	Training Cost: 13270.910156	 Val Cost: 323578.288945	 Valid Acc: 0.6340671747106972
Epoch: 14 	Training Cost: 13236.162109	 Val Cost: 320121.568352	 Valid Acc: 0.640558848433531
Epoch: 15 	Training Cost: 13204.889648	 Val Cost: 314728.445652	 Valid Acc: 0.6474738921817669
Epoch: 16 	Training Cost: 13109.775391	 Val Cost: 308929.194160	 Valid Acc: 0.6498729889923793
Epoch: 17 	Training Cost: 13156.322266	 Val Cost: 304940.628088	 Valid Acc: 0.6536833192209992
Epoch: 18 	Training Cost: 13072.767578	 Val Cost: 307045.557853	 Valid Acc: 0.6593282528930285
Epoch: 19 	Training Cost: 13006.974609	 Val Cost: 300318.789924	 Valid Acc: 0.6631385831216483
Epoch: 20 	Training Cost: 12910.281250	 Val Cost: 297027.086580	 Valid Acc: 0.6656788032740615
Epoch: 21 	Training Cost: 12787.067383	 Val Cost: 292031.165671	 Valid Acc: 0.6711826136042901
Epoch: 22 	Training Cost: 12656.741211	 Val Cost: 289457.225293	 Valid Acc: 0.6686423934518769
Epoch: 23 	Training Cost: 12580.186523	 Val Cost: 286827.638278	 Valid Acc: 0.6734405870731018
Epoch: 24 	Training Cost: 12536.618164	 Val Cost: 284387.390758	 Valid Acc: 0.6756985605419137
Epoch: 25 	Training Cost: 12484.629883	 Val Cost: 281840.885426	 Valid Acc: 0.6779565340107254
Epoch: 26 	Training Cost: 12437.566406	 Val Cost: 279540.669439	 Valid Acc: 0.6804967541631386
Epoch: 27 	Training Cost: 12381.146484	 Val Cost: 278313.090105	 Valid Acc: 0.6802145074795372
Epoch: 28 	Training Cost: 12380.405273	 Val Cost: 276921.626365	 Valid Acc: 0.6810612475303415
Epoch: 29 	Training Cost: 12354.604492	 Val Cost: 275322.909047	 Valid Acc: 0.6844482077335591
Epoch: 30 	Training Cost: 12324.104492	 Val Cost: 274353.465326	 Valid Acc: 0.6847304544171606
Epoch: 31 	Training Cost: 12297.943359	 Val Cost: 274753.929335	 Valid Acc: 0.6827547276319503
Epoch: 32 	Training Cost: 12389.783203	 Val Cost: 272849.002930	 Valid Acc: 0.6837425910245555
Epoch: 33 	Training Cost: 12302.026367	 Val Cost: 270708.348499	 Valid Acc: 0.6886819079875811
Epoch: 34 	Training Cost: 12300.381836	 Val Cost: 269423.874218	 Valid Acc: 0.6896697713801863
Epoch: 35 	Training Cost: 12238.817383	 Val Cost: 268519.546463	 Valid Acc: 0.6886819079875811
Epoch: 36 	Training Cost: 12193.894531	 Val Cost: 266711.378724	 Valid Acc: 0.6875529212531752
Epoch: 37 	Training Cost: 12133.405273	 Val Cost: 265837.165749	 Valid Acc: 0.6910810047981937
Epoch: 38 	Training Cost: 12111.088867	 Val Cost: 265487.617330	 Valid Acc: 0.692492238216201
Epoch: 39 	Training Cost: 12219.287109	 Val Cost: 264645.641970	 Valid Acc: 0.6929156082416031
Epoch: 40 	Training Cost: 12131.521484	 Val Cost: 264196.965928	 Valid Acc: 0.6920688681907987
Epoch: 41 	Training Cost: 12066.072266	 Val Cost: 263674.531069	 Valid Acc: 0.6943268416596104
Epoch: 42 	Training Cost: 12069.693359	 Val Cost: 262790.007322	 Valid Acc: 0.694609088343212
Epoch: 43 	Training Cost: 12071.605469	 Val Cost: 262012.458784	 Valid Acc: 0.6957380750776179
Epoch: 44 	Training Cost: 12061.263672	 Val Cost: 261685.113985	 Valid Acc: 0.6951735817104149
Epoch: 45 	Training Cost: 12053.638672	 Val Cost: 261057.914825	 Valid Acc: 0.6970081851538245
Epoch: 46 	Training Cost: 12002.555664	 Val Cost: 260351.400174	 Valid Acc: 0.69616144510302
Epoch: 47 	Training Cost: 12002.536133	 Val Cost: 259644.059424	 Valid Acc: 0.6957380750776179
Epoch: 48 	Training Cost: 12004.076172	 Val Cost: 259118.565653	 Valid Acc: 0.6972904318374259
Epoch: 49 	Training Cost: 12025.323242	 Val Cost: 258693.357034	 Valid Acc: 0.6978549252046289
Epoch: 50 	Training Cost: 12007.365234	 Val Cost: 258208.854096	 Valid Acc: 0.6977138018628282
Epoch: 51 	Training Cost: 12016.587891	 Val Cost: 257917.100750	 Valid Acc: 0.6974315551792266
Epoch: 52 	Training Cost: 12022.649414	 Val Cost: 257984.655125	 Valid Acc: 0.6975726785210273
Epoch: 53 	Training Cost: 12035.020508	 Val Cost: 257405.786493	 Valid Acc: 0.6955969517358171
